statut_amm,statut_commercialisation,specialite,dosage,forme,presentation,pp_gn,substance_active,classe_therapeutique,epi,ppv,ph,pfht,code,tva
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"90,4","56,5","53,83",24,
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,250  MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,GN,AMOXICILLINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"31,4","19,6","18,7194",25,
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,250  MG,SUSPENSION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"21,9","13,7","13,0452",26,
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,500  MG,GELULE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"32,3","20,2","19,24",27,
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,500  MG,GELULE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"56,9","35,5","33,86",28,
AMM ENREGISTREE,Commercialisé,BROMAX,"15  MG  /  5  ML (0,30%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMO-ALLERGO-PHTYSIOLOGIE,AFRIC PHAR,"27,1","16,9","16,1326",29,
AMM ENREGISTREE,Commercialisé,BROMAX,"30  MG  /  5  ML (0,6%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMO-ALLERGO-PHTYSIOLOGIE,AFRIC PHAR,"30,8","19,3","18,3578",30,
AMM ENREGISTREE,Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 20,GN,FORMOTEROL (FUMARATE),PNEUMO-ALLERGO-PHTYSIOLOGIE,ATLAS PHARM,"84,6","52,9","50,3571",31,
AMM ENREGISTREE,Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 30,GN,FORMOTEROL (FUMARATE),PNEUMO-ALLERGO-PHTYSIOLOGIE,ATLAS PHARM,"123,8","77,4","73,6905",32,
AMM ENREGISTREE,Commercialisé,BUDENA,100 MCG,AEROSOL NASAL,FLACON DE 200 DOSES,GN,BUDESONIDE,PNEUMO-ALLERGO-PHTYSIOLOGIE,AFRIC PHAR,"139,2",87,"82,88",33,
AMM ENREGISTREE,Commercialisé,BUDENA,200 MCG,AEROSOL,FLACON DE 200 DOSES,GN,BUDESONIDE,PNEUMO-ALLERGO-PHTYSIOLOGIE,AFRIC PHAR,234,"146,2","139,2857",34,
AMM ENREGISTREE,Commercialisé / AO,BUDENA,64 µG  /  DOSE,SUSPENSION POUR PELVERISATION NASALE,FLACON DE 120 DOSES,GN,BUDESONIDE,PNEUMO-ALLERGO-PHTYSIOLOGIE,AFRIC PHAR,"67,9","42,4","40,41",35,
AMM ENREGISTREE,Commercialisé,CATEX,250  MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"51,4","32,1","30,6",36,
AMM ENREGISTREE,Commercialisé,CATEX,250  MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"90,5","56,5","53,85",37,
AMM ENREGISTREE,Commercialisé,CATEX,500  MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"74,8","46,7","44,5",38,
AMM ENREGISTREE,Commercialisé,CATEX,500  MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"131,6","82,2","78,32",39,
AMM ENREGISTREE,Commercialisé / AO,CATEX,750  MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,131,"81,9",78,40,
AMM ENREGISTREE,Commercialisé / AO,CATEX,750  MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,470,312,"297,9841",41,
AMM ENREGISTREE,Non Commercialisé,CELLUVISC,"4  MG  /  0,4  ML",COLLYRE RECIPIENT UNIDOSE,BOITE DE 30,PP,CARMELLOSE (SODIQUE),OPHTALMOLOGIE,AFRIC PHAR,"41,5","25,9","24,6996",42,
AMM ENREGISTREE,Commercialisé,CETIRAL,1  MG  /   ML,SOLUTION BUVABLE,FLACON DE 60 ML,GN,CETIRIZINE (DICHLORHYDRATE),PNEUMO-ALLERGO-PHTYSIOLOGIE,AFRIC PHAR,"25,6",16,"15,25",43,
AMM ENREGISTREE,Commercialisé,CETIRAL,10  MG,COMPRIME PELLICULE,BOITE DE 15,GN,CETIRIZINE (DICHLORHYDRATE),PNEUMO-ALLERGO-PHTYSIOLOGIE,AFRIC PHAR,"42,8","26,7","25,47",44,
AMM ENREGISTREE,Commercialisé / AO,CHEMOSET,2  MG  /   ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 2 ML,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE - HEMATOLOGIE,AFRIC PHAR,269,"179,3","170,7477",45,
AMM ENREGISTREE,Commercialisé,CHEMOSET,2  MG  /   ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 4 ML,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE - HEMATOLOGIE,AFRIC PHAR,511,340,"323,8318",46,
AMM RETIREE,Retiré du Marché,CHEMOSET,4  MG,COMPRIME PELLICULE,BOITE DE 1,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,22,"13,7","12,2385",47,
AMM ENREGISTREE,Commercialisé / AO,CHEMOSET,4  MG,COMPRIME PELLICULE,BOITE DE 10,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE - HEMATOLOGIE,AFRIC PHAR,"175,7","109,8","104,5839",48,
AMM ENREGISTREE,Commercialisé / AO,CHEMOSET,4  MG,COMPRIME PELLICULE,BOITE DE 5,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE - HEMATOLOGIE,AFRIC PHAR,"91,6","57,2","54,5171",49,
AMM RETIREE,Retiré du Marché,CHEMOSET,8  MG,COMPRIME PELLICULE,BOITE DE 1,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,39,"24,3","21,6956",50,
AMM ENREGISTREE,Commercialisé,CHEMOSET,8  MG,COMPRIME PELLICULE,BOITE DE 10,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE - HEMATOLOGIE,AFRIC PHAR,333,221,"211,3738",51,
AMM RETIREE,Retiré du Marché,CHEMOSET,8  MG,COMPRIME PELLICULE,BOITE DE 5,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,188,"117,1","104,5839",52,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,"0,05",CREME,TUBE DE 10 G,GN,ACICLOVIR,DERMATOLOGIE - VENEROLOGIE,AFRIC PHAR,"38,9","24,3","23,19",53,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,200  MG,COMPRIME,BOITE DE 25,GN,ACICLOVIR,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"91,1","56,9","54,24",54,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,250  MG,POUDRE LYOPHILISEE + SOLVANT,BOITE DE 5 FLACONS,GN,ACICLOVIR,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,628,417,"397,6065",55,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,400  MG  /  5  ML,SUSPENSION BUVABLE,FLACON DE 100 ML,GN,ACICLOVIR,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"186,9","116,8","111,2595",56,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,400  MG,COMPRIME,BOITE DE 25,GN,ACICLOVIR,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,242,"151,9","144,63",57,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,800  MG,COMPRIME,BOITE DE 12,GN,ACICLOVIR,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,247,"154,8","147,4188",58,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,800  MG,COMPRIME,BOITE DE 25,GN,ACICLOVIR,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,469,312,"297,3364",59,
AMM ENREGISTREE,Commercialisé,CLOMITER,"0,01",CREME,TUBE DE 30 G,GN,CLOTRIMAZOLE,DERMATOLOGIE - VENEROLOGIE,AFRIC PHAR,"27,7","17,3","16,522",60,
AMM ENREGISTREE,Commercialisé,CLOMITER,"0,01",SOLUTION TOPIQUE,FLACON DE 30 ML,GN,CLOTRIMAZOLE,DERMATOLOGIE - VENEROLOGIE,AFRIC PHAR,27,"16,9","16,077",61,
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"150  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 14,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"69,5","43,4","41,39",62,
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"150  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 28,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"134,5",83,"79,96",63,
AMM RETIREE,Retiré du Marché,CO-IRVEL,"150  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 7,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"39,5","24,7","23,52",64,
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"300  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 14,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,85,"53,1","50,6",65,
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"300  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 28,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,158,"98,7","94,05",66,
AMM RETIREE,Retiré du Marché,CO-IRVEL,"300  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 7,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"42,5","26,5","25,29",67,
AMM ENREGISTREE,Commercialisé,COMBIGAN,2  MG  /   ML + 5  MG  /   ML,COLLYRE,FLACON DE 5 ML,PP,BRIMONIDINE (TARTRATE) // TIMOLOL MALEATE,OPHTALMOLOGIE,AFRIC PHAR,"169,7",106,"100,99",68,
AMM ENREGISTREE,Non Commercialisé,CORTIVENT,250 µG  /  DOSE,SUSPENSION POUR INHALATION BUCCALE,FLACON DE 200 DOSES,GN,BECLOMETHASONE,PNEUMO-ALLERGO-PHTYSIOLOGIE,AFRIC PHAR,"86,5",54,"51,48",69,
AMM ENREGISTREE,Commercialisé / AO,CORTIVENT,50 µG  /  DOSE,SUSPENSION POUR INHALATION BUCCALE,FLACON DE 200 DOSES,GN,BECLOMETHASONE,PNEUMO-ALLERGO-PHTYSIOLOGIE,AFRIC PHAR,55,"34,4","32,7381",70,
AMM ENREGISTREE,Non Commercialisé,CORTOFTAL,0,COLLYRE,FLACON DE 5 ML,PP,CLOBETASONE (BUTYRATE),OPHTALMOLOGIE,AFRIC PHAR,"22,9","14,3","13,6293",71,
AMM ENREGISTREE,Non Commercialisé,COSMOFER,50  MG  /   ML,SOLUTION INJECTABLE IV-IM,BOITE DE 5 AMPOULE DE 2 ML,PP,HYDROXYDE (FERRIQUE),HEMATOLOGIE ET HEMOSTASE,AFRIC PHAR,288,"191,5","182,43",72,
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,100  MG  /  25  MG,COMPRIME PELLICULE,BOITE DE 14,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"79,4","49,6","47,27",73,
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,100  MG  /  25  MG,COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"139,7","87,3","83,19",74,
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,"50  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 14,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"60,6","37,9","36,1",75,
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,"50  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"106,7","66,7","63,53",76,
AMM ENREGISTREE,Non Commercialisé,CUSICROM,"0,04",COLLYRE,FLACON DE 10 ML,GN,CROMOGLICATE DE SODIUM,OPHTALMOLOGIE,AFRIC PHAR,"34,6","21,6","20,583",77,
AMM ENREGISTREE,Non Commercialisé,CUSICROM NASALE,"0,04",SOLUTION NASALE,FLACON DE 15 ML,GN,CROMOGLICATE DE SODIUM,CUSICROM NASALE,AFRIC PHAR,"34,3","21,4","20,4161",78,
AMM ENREGISTREE,Non Commercialisé,CUSIMOLOL,"0,0025",COLLYRE,FLACON DE 5 ML,GN,TIMOLOL (MALEATE),OPHTALMOLOGIE,AFRIC PHAR,"32,6","20,4","19,4148",79,
AMM ENREGISTREE,Non Commercialisé,CUSIMOLOL,"0,005",COLLYRE,FLACON DE 5 ML,GN,TIMOLOL (MALEATE),OPHTALMOLOGIE,AFRIC PHAR,"37,7","23,5","22,4188",80,
AMM ENREGISTREE,Non Commercialisé,CUSIVIRAL,"0,03",POMMADE OPHTALMIQUE,"TUBE DE 4,5 G",GN,ACICLOVIR,OPHTALMOLOGIE,AFRIC PHAR,"79,7","49,8","47,4522",81,
AMM RETIREE,Retiré du Marché,CUSIVIRAL,"0,05",POMMADE,TUBE DE 15 G,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"183,6","114,4","102,1362",82,
AMM RETIREE,Retiré du Marché,CUSIVIRAL,"0,05",POMMADE,TUBE DE 2 G,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"35,7","22,2","19,8598",83,
AMM ENREGISTREE,Non Commercialisé,DECLOBAN,"0,0005",POMMADE,TUBE DE 15 G,GN,CLOBETASOL (PROPIONATE),DERMATOLOGIE - VENEROLOGIE,AFRIC PHAR,"19,1","11,9","11,3485",84,
AMM ENREGISTREE,Non Commercialisé,DECLOBAN,"0,0005",POMMADE,TUBE DE 30 G,GN,CLOBETASOL (PROPIONATE),DERMATOLOGIE - VENEROLOGIE,AFRIC PHAR,"28,6","17,9","17,0227",85,
AMM ENREGISTREE,Commercialisé,DILOVAC,25  MG,COMPRIME SECABLE,BOITE DE 30,GN,CARVEDILOL,CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"72,8","45,5","43,3333",86,
AMM ENREGISTREE,Commercialisé,DILOVAC,"6,25  MG",COMPRIME SECABLE,BOITE DE 30,GN,CARVEDILOL,CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"31,2","19,5","18,5714",87,
AMM ENREGISTREE,Commercialisé,DIPICOR,10  MG,COMPRIME,BOITE DE 30,GN,AMLODIPINE,CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"80,5","50,3","47,94",88,
AMM ENREGISTREE,Commercialisé,DIPICOR,10  MG,COMPRIME,BOITE DE 60,GN,AMLODIPINE,CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,"159,2","99,5","94,75",89,
AMM ENREGISTREE,Commercialisé,DIPICOR,5  MG,COMPRIME,BOITE DE 30,GN,AMLODIPINE,CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,53,"33,1","31,54",90,
AMM ENREGISTREE,Commercialisé,DIPICOR,5  MG,COMPRIME,BOITE DE 60,GN,AMLODIPINE,CARDIOLOGIE - ANGEIOLOGIE,AFRIC PHAR,99,"61,9","58,9286",91,
AMM ENREGISTREE,Commercialisé,DONA,1500  MG,POUDRE POUR SOLUTION ORAL,BOITE DE 30 SACHETS,GN,GLUCOSAMINE (SULFATE),RHUMATOLOGIE,AFRIC PHAR,"129,9","81,2","77,3253",92,
AMM ENREGISTREE,Commercialisé,DOXICAN,20  MG,GELULE,BOITE DE 10,GN,TENOXICAM,ANESTHESIE - REANIMATION,AFRIC PHAR,"41,1","25,7","24,4882",93,
AMM ENREGISTREE,Commercialisé,DOXICAN,20  MG,GELULE,BOITE DE 20,GN,TENOXICAM,ANESTHESIE - REANIMATION,AFRIC PHAR,"72,4","45,2","43,0964",94,
AMM ENREGISTREE,Non Commercialisé,DOXICAN,20  MG,SUPPOSITOIRE,BOITE DE 6,GN,TENOXICAM,ANESTHESIE - REANIMATION,AFRIC PHAR,"37,4","23,4","22,2519",95,
AMM ENREGISTREE,Non Commercialisé,ELEBLOC,"0,01",COLLYRE,FLACON DE 5 ML,GN,CARTEOLOL (CHLORHYDRATE),OPHTALMOLOGIE,AFRIC PHAR,"35,4","22,1","21,0837",96,
AMM ENREGISTREE,Non Commercialisé,ELEBLOC,"0,02",COLLYRE,FLACON DE 5 ML,GN,CARTEOLOL (CHLORHYDRATE),OPHTALMOLOGIE,AFRIC PHAR,"37,7","23,5","22,4188",97,
AMM RETIREE,Retiré du Marché,ELLEACNELLE,"2  MG  /  0,035  MG",COMPRIME,BOITE DE 21,GN,CYPROTERONE (ACETATE) // ETHINYLESTRADIOL,GYNECOLOGIE,AFRIC PHAR,"36,5","22,7","20,3049",98,
AMM ENREGISTREE,Commercialisé,EUCARBON,180  MG  /  25  MG  /  105  MG  /  25  MG,COMPRIME,BOITE DE 30,PP,CHARBON VEGETAL // EXTRAIT DE RHUBARBE // FEUILLES DE SENE // SOUFRE,GASTRO-ENTERO-HEPATOLOGIE,AFRIC PHAR,"29,9","18,7","17,8015",99,
AMM ENREGISTREE,Commercialisé,EUCARBON,180  MG  /  25  MG  /  105  MG  /  50  MG,COMPRIME,BOITE DE 100,PP,CHARBON VEGETAL // EXTRAIT DE RHUBARBE // FEUILLES DE SENE // SOUFRE,GASTRO-ENTERO-HEPATOLOGIE,AFRIC PHAR,85,"53,1","50,6231",100,
AMM ENREGISTREE,Non Commercialisé,EXOCINE,"0,003",COLLYRE,FLACON DE 5 ML,PP,OFLOXACINE,OPHTALMOLOGIE,AFRIC PHAR,"37,7","23,6","22,4744",101,
AMM ENREGISTREE,Commercialisé / AO,FEIBA,1000 UI  /  20  ML,POUDRE LYOPHILISEE POUR INJECTION OU PERFUSION IV,COFFRET(2 FLACONS / 20 ML+ SERINGUE + AIGUILLE + DISPOSITIF DE TRANSFERT + 1 NECESSAIRE),PP,FACTEURS DE COAGULATION AYANT ACTIVITE COURT-CIRCUITANT L'INHIBITEUR DU FACTEUR VIII,CANCEROLOGIE - HEMATOLOGIE,AFRIC PHAR,6472,6251,"5953,7161",102,
AMM ENREGISTREE,Commercialisé / AO,FEIBA,500 UI  /  20  ML,POUDRE LYOPHILISEE POUR INJECTION OU PERFUSION IV,COFFRET(2 FLACONS / 20 ML+ SERINGUE + AIGUILLE + DISPOSITIF DE TRANSFERT + 1 NECESSAIRE),PP,FACTEURS DE COAGULATION AYANT ACTIVITE COURT-CIRCUITANT L'INHIBITEUR DU FACTEUR VIII,CANCEROLOGIE - HEMATOLOGIE,AFRIC PHAR,3435,3124,"2975,5229",103,
AMM RETIREE,Retiré du Marché,FERRIPROX,100  MG  /   ML,SOLUTION ORALE,FLACON DE 500 ML,PP,DEFERIPRONE,ANESTHESIE - REANIMATION,AFRIC PHAR,1388,1120,"1067,4673",104,
AMM ENREGISTREE,Commercialisé,FERRIPROX,500  MG,COMPRIME PELLICULE,BOITE DE 100,PP,DEFERIPRONE,ANESTHESIE - REANIMATION,AFRIC PHAR,2384,2042,"1945,3205",105,
AMM ENREGISTREE,Commercialisé,FLAMIX,15  MG,COMPRIME,BOITE DE 14,GN,MELOXICAM,ANESTHESIE - REANIMATION,AFRIC PHAR,"56,9","35,6","33,8785",106,
AMM ENREGISTREE,Commercialisé,FLAMIX,"7,5  MG",COMPRIME,BOITE DE 14,GN,MELOXICAM,ANESTHESIE - REANIMATION,AFRIC PHAR,"33,8","21,1","20,138",107,
